dates,machines,coffee,soda,nrj,day,date
2019-11-14 11:53:35+00:00,A,280,120,60,Thursday,2019-11-14
2019-11-14 12:06:35+00:00,A,279,120,60,Thursday,2019-11-14
2019-11-14 12:07:59+00:00,A,279,119,60,Thursday,2019-11-14
2019-11-14 12:13:45+00:00,A,279,118,60,Thursday,2019-11-14
2019-11-14 12:22:35+00:00,A,278,118,60,Thursday,2019-11-14
2019-11-14 12:37:44+00:00,A,278,117,60,Thursday,2019-11-14
2019-11-14 12:47:09+00:00,B,280,120,60,Thursday,2019-11-14
2019-11-14 12:47:52+00:00,A,277,117,60,Thursday,2019-11-14
2019-11-14 12:51:00+00:00,A,276,117,60,Thursday,2019-11-14
2019-11-14 12:52:49+00:00,A,275,117,60,Thursday,2019-11-14
2019-11-14 12:55:16+00:00,A,274,117,60,Thursday,2019-11-14
2019-11-14 12:55:53+00:00,A,274,116,60,Thursday,2019-11-14
2019-11-14 12:56:49+00:00,A,273,116,60,Thursday,2019-11-14
2019-11-14 13:01:09+00:00,B,279,120,60,Thursday,2019-11-14
2019-11-14 13:03:46+00:00,B,278,120,60,Thursday,2019-11-14
2019-11-14 13:11:34+00:00,A,272,116,60,Thursday,2019-11-14
2019-11-14 13:11:52+00:00,B,277,120,60,Thursday,2019-11-14
2019-11-14 13:17:40+00:00,A,271,116,60,Thursday,2019-11-14
2019-11-14 13:25:54+00:00,A,270,116,60,Thursday,2019-11-14
2019-11-14 13:27:47+00:00,A,269,116,60,Thursday,2019-11-14
2019-11-14 13:38:02+00:00,A,269,115,60,Thursday,2019-11-14
2019-11-14 13:44:06+00:00,B,276,120,60,Thursday,2019-11-14
2019-11-14 13:48:50+00:00,A,268,115,60,Thursday,2019-11-14
2019-11-14 13:51:00+00:00,B,275,120,60,Thursday,2019-11-14
2019-11-14 13:51:23+00:00,C,280,120,60,Thursday,2019-11-14
2019-11-14 14:00:15+00:00,B,274,120,60,Thursday,2019-11-14
2019-11-14 14:00:23+00:00,C,279,120,60,Thursday,2019-11-14
2019-11-14 14:03:36+00:00,C,278,120,60,Thursday,2019-11-14
2019-11-14 14:03:38+00:00,A,267,115,60,Thursday,2019-11-14
2019-11-14 14:11:06+00:00,B,273,120,60,Thursday,2019-11-14
2019-11-14 14:13:08+00:00,C,277,120,60,Thursday,2019-11-14
2019-11-14 14:15:43+00:00,C,277,119,60,Thursday,2019-11-14
2019-11-14 14:20:13+00:00,B,272,120,60,Thursday,2019-11-14
2019-11-14 14:22:53+00:00,B,271,120,60,Thursday,2019-11-14
2019-11-14 14:27:39+00:00,B,270,120,60,Thursday,2019-11-14
2019-11-14 14:29:10+00:00,C,277,119,59,Thursday,2019-11-14
2019-11-14 14:31:49+00:00,C,276,119,59,Thursday,2019-11-14
2019-11-14 14:32:18+00:00,C,275,119,59,Thursday,2019-11-14
2019-11-14 14:36:01+00:00,A,266,115,60,Thursday,2019-11-14
2019-11-14 14:40:49+00:00,C,275,118,59,Thursday,2019-11-14
2019-11-14 14:46:49+00:00,A,266,114,60,Thursday,2019-11-14
2019-11-14 14:50:17+00:00,C,274,118,59,Thursday,2019-11-14
2019-11-14 14:53:31+00:00,B,270,119,60,Thursday,2019-11-14
2019-11-14 14:54:30+00:00,D,280,120,60,Thursday,2019-11-14
2019-11-14 14:57:26+00:00,A,265,114,60,Thursday,2019-11-14
2019-11-14 14:57:59+00:00,C,273,118,59,Thursday,2019-11-14
2019-11-14 15:04:55+00:00,C,272,118,59,Thursday,2019-11-14
2019-11-14 15:05:46+00:00,A,264,114,60,Thursday,2019-11-14
2019-11-14 15:06:30+00:00,D,279,120,60,Thursday,2019-11-14
2019-11-14 15:09:00+00:00,A,264,113,60,Thursday,2019-11-14
2019-11-14 15:09:19+00:00,B,270,118,60,Thursday,2019-11-14
2019-11-14 15:19:49+00:00,D,279,119,60,Thursday,2019-11-14
2019-11-14 15:21:49+00:00,B,270,117,60,Thursday,2019-11-14
